Date,County,Town,Race/Ethnicity,Population,Group share of town population,Individuals with at least one dose
March-11-2021,Berkshire,Dalton,Black,37.9904403867789,0.00587540467581033,*
March-11-2021,Berkshire,Dalton,Hispanic,107.74679807,0.0166635615365064,*
March-11-2021,Berkshire,Dalton,Multi,67.4142034213849,0.0104259314176278,*
March-11-2021,Berkshire,Dalton,NH/PI,0.871999255,0.000134858886813881,*
March-11-2021,Berkshire,Dalton,White,6154.56764824475,0.951833544700695,1422
March-11-2021,Berkshire,Dalton,Other/Unknown,0,0,283
March-11-2021,Berkshire,Dalton,Total,6466.01255283565,1,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),AI/AN,1.33180683372427,0.00110532092096135,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),Asian,7.49393848069058,0.00621952581512247,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),Black,6.72007885418909,0.00557726808419651,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),Hispanic,25.43535888,0.0211098438529597,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),Multi,12.4286193950295,0.0103150191815552,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),NH/PI,6.72357860128507,0.00558017266734273,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),White,1139.75666274571,0.945930635162027,198
March-11-2021,Berkshire,Egremont (includes Mount Washington),Other/Unknown,0,0,*
March-11-2021,Berkshire,Egremont (includes Mount Washington),Total,1204.90511711833,1,*
March-11-2021,Berkshire,Florida,AI/AN,2.99449963486479,0.00381993913166406,*
March-11-2021,Berkshire,Florida,Asian,4.99452878703086,0.00637128010825865,*
March-11-2021,Berkshire,Florida,Black,7.022227669419,0.00895791802862549,*
March-11-2021,Berkshire,Florida,Hispanic,4.88788509,0.00623523987412721,*
March-11-2021,Berkshire,Florida,Multi,5.7624750448255,0.0073509122067268,*
March-11-2021,Berkshire,Florida,NH/PI,0,0,*
March-11-2021,Berkshire,Florida,White,741.580047502777,0.945997992364109,*
March-11-2021,Berkshire,Florida,Other/Unknown,0,0,*
March-11-2021,Berkshire,Florida,Total,783.912918937091,1,*
March-11-2021,Berkshire,Great Barrington (includes Alford),AI/AN,16.683193825262,0.00232280156596861,*
March-11-2021,Berkshire,Great Barrington (includes Alford),Asian,178.623864178151,0.024869805852409,*
March-11-2021,Berkshire,Great Barrington (includes Alford),Black,131.019147816385,0.0182417997960886,*
March-11-2021,Berkshire,Great Barrington (includes Alford),Hispanic,531.13419785,0.0739498299562605,189
March-11-2021,Berkshire,Great Barrington (includes Alford),Multi,139.945925602444,0.0194846753292563,*
March-11-2021,Berkshire,Great Barrington (includes Alford),NH/PI,0.911212081504507,0.000126868084853348,*
March-11-2021,Berkshire,Great Barrington (includes Alford),White,6102.28974523017,0.84962198033998,2300
March-11-2021,Berkshire,Great Barrington (includes Alford),Other/Unknown,0,0,492
March-11-2021,Berkshire,Great Barrington (includes Alford),Total,7182.35860939981,1,*
March-11-2021,Berkshire,Hinsdale (includes Peru),AI/AN,4.18218160657758,0.00141235737257933,*
March-11-2021,Berkshire,Hinsdale (includes Peru),Asian,12.6159792729378,0.00426052070776119,*
March-11-2021,Berkshire,Hinsdale (includes Peru),Black,17.1483415700685,0.00579113700034052,*
March-11-2021,Berkshire,Hinsdale (includes Peru),Hispanic,27.32148651,0.00922669231808012,*
March-11-2021,Berkshire,Hinsdale (includes Peru),Multi,22.2144570858936,0.00750200617633727,*
March-11-2021,Berkshire,Hinsdale (includes Peru),NH/PI,0,0,*
March-11-2021,Berkshire,Hinsdale (includes Peru),White,2877.20050139216,0.971654443254937,535
March-11-2021,Berkshire,Hinsdale (includes Peru),Other/Unknown,0,0,70
March-11-2021,Berkshire,Hinsdale (includes Peru),Total,2961.13553677978,1,*
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),AI/AN,2.33989223255646,0.000609198208493332,*
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),Asian,38.9550888567792,0.0101420783457709,*
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),Black,42.3071502250701,0.0110147979317031,*
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),Hispanic,66.30322509,0.0172622505345162,*
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),Multi,35.3266057936423,0.00919739151325114,*
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),NH/PI,1.02293430520371,0.000266324122737749,*
